UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The New York Times,@nytimes,2021-12-09T22:44:39.000Z,"The New York Times
@nytimes
·
10 Dec 2021","Breaking News: An appeals court ruled that Congress may see White House records of Donald Trump’s communications and movements related to the Jan. 6 attack on the Capitol.
nytimes.com
Appeals Court Rejects Trump’s Bid to Shield Material From Jan. 6 Inquiry
A three-judge panel held that Congress’s oversight powers, backed by President Biden’s decision not to invoke executive privilege over the material, outweighed Mr. Trump’s residual secrecy powers.
39
182
1K",,39,182,1K,['https://pbs.twimg.com/card_img/1479944613670621189/qI8x5Mvo?format=jpg&name=small'],https://twitter.com/nytimes/status/1469075548139884545
annatolentini,@annatolentini,2021-12-09T21:46:32.000Z,"annatolentini
@annatolentini
·
10 Dec 2021","Donald Trump lost another court battle.
Trump Organization... Matt Gaetz and Steve Bannon...This is how you see them soon...
2
17
46",,2,17,46,"['https://pbs.twimg.com/media/FGMmg9CXwAkryq3?format=png&name=small', 'https://pbs.twimg.com/media/FGMmg9DWUAcYeEV?format=png&name=small']",https://twitter.com/annatolentini/status/1469060921796534275
Forbes,@Forbes,2021-12-09T22:51:08.000Z,"Forbes
@Forbes
·
10 Dec 2021","New York State Attorney General Letitia James  plans to issue a subpoena requesting President Donald Trump appear for a deposition on January 7, according to multiple reports, as investigators probe the Trump Organization for evidence of financial fraud.

http://on.forbes.com/6010JsfaI
7
32
65",,7,32,65,['https://pbs.twimg.com/amplify_video_thumb/1469077101911420928/img/TxnIQ8iOUI3bLUl7.jpg'],https://twitter.com/Forbes/status/1469077178289692676
g,@mistergeezy,2021-12-09T23:55:07.000Z,"g
@mistergeezy
·
10 Dec 2021","Here's Merrick Garland rebuilding the Justice Department that Donald Trump broke with brand new appointed US Attorneys.
Joy-Ann (Pro-Democracy) Reid
@JoyAnnReid
 · 9 Dec 2021
Where is Merrick Garland???  twitter.com/Sifill_LDF/sta…
2
32
88",😷,2,32,88,"['https://pbs.twimg.com/media/FGNEjYkXMAEfliz?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1406766260449382401/jgTy_gtz_mini.jpg', 'https://pbs.twimg.com/media/FGL_Dh3XMAQICNH?format=jpg&name=120x120']",https://twitter.com/mistergeezy/status/1469093283276242951
wendi bloomenthal,@wendibloomenth1,2021-12-09T21:49:30.000Z,"wendi bloomenthal
@wendibloomenth1
·
10 Dec 2021","What the B.C. NDP have done is as bad or worse than how Donald Trump and his minions handled covid . We were outraged for our southern neighbours as he lied about testing and withheld life supporting layers of protection . We need the same level of outrage for our own government
8
30
65",,8,30,65,[],https://twitter.com/wendibloomenth1/status/1469061669544333312
Rep. Don Beyer,@RepDonBeyer,2021-12-09T23:40:33.000Z,"Rep. Don Beyer
@RepDonBeyer
·
10 Dec 2021","Nancy Pelosi was in Congress advocating for human rights in China while you were in high school.

When it came out that Donald Trump told Xi putting Uyghurs in concentration camps was ""exactly the right thing to do"" you refused to utter one word of criticism. You still haven't.
Marco Rubio
@marcorubio
 · 10 Dec 2021
Yesterday the House passed their version of my bill to take on Uyghur slave labor in #China 425 to 1

But now Pelosi is blocking it from being sent to the Senate 

The White House & corporate interests who opposes our bill aren’t going to give up that easy
7
38
140",,7,38,140,['https://pbs.twimg.com/profile_images/1435638736763695105/t5ht2zyQ_mini.jpg'],https://twitter.com/RepDonBeyer/status/1469089617546723331
Palmer Report,@PalmerReport,2021-12-09T22:09:01.000Z,"Palmer Report
@PalmerReport
·
10 Dec 2021","U.S. Appeals Court rules against Donald Trump, huge victory for January 6th Committee
palmerreport.com
U.S. Appeals Court rules against Donald Trump, huge victory for January 6th Committee
...
19
125
433",,19,125,433,['https://pbs.twimg.com/card_img/1480180160087343107/MJ-etsze?format=jpg&name=240x240'],https://twitter.com/PalmerReport/status/1469066582018113543
VACCINATING & MASKingUp is our way #Back2Normal,,2021-12-09T23:10:29.000Z,"VACCINATING & MASKingUp is our way #Back2Normal
·
10 Dec 2021","Trump Organization & Donald Trump are about to Go through some things...  Letitia James ends bid for N.Y. governor as Trump probe ramps up
msn.com
Letitia James ends bid for N.Y. governor as Trump probe ramps up
""I have come to the conclusion that I must continue my work as attorney general,"" James said in a statement.
1
6
17",😷,1,6,17,['https://pbs.twimg.com/card_img/1479684337591537665/ZHYjZh_j?format=jpg&name=small'],https://twitter.com/TrumpHasGot2Go/status/1469082048568639497
Robert Maguire,@RobertMaguire_,2021-12-09T21:39:43.000Z,"Robert Maguire
@RobertMaguire_
·
10 Dec 2021","Has an individual ever lost as many court cases as Donald Trump?
Zoe Tillman
@ZoeTillman
 · 10 Dec 2021
NOW: The DC Circuit rules against Trump is in his quest to stop the Jan. 6 committee from getting his archived White House records. Judgment just came in, waiting on the full opinion, more to come. Court gives Trump 14 days to petition SCOTUS.
Show this thread
12
32
142",,12,32,142,"['https://pbs.twimg.com/profile_images/1466774490805940234/Ld8SoYSt_mini.jpg', 'https://pbs.twimg.com/media/FGMicU-WYAkGTmh?format=png&name=small']",https://twitter.com/RobertMaguire_/status/1469059205869019144
Bleeding Heart Liberal Marine,@BleedingMarine,2021-12-09T23:36:36.000Z,"Bleeding Heart Liberal Marine
@BleedingMarine
·
10 Dec 2021","It’s amazing that Republicans aren’t even slightly embarrassed about people like Matt Gaetz and Steve Bannon and Donald Trump. Imagine how warped your sense of reality must be to think those creeps are good for America. #GOPCorruptionOverCountry
8
49
157",,8,49,157,[],https://twitter.com/BleedingMarine/status/1469088621491679233
