UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
TeslaNews,@Teslanews10,2022-03-28T22:39:34.000Z,"TeslaNews
@Teslanews10
·
29 Mar","Elon Musk again sparks 10% rise in #dogecoin. Does it have more steam left? https://businesblog.com/elon-musk-again-sparks-10-rise-in-dogecoin-does-it-have-more-steam-left/…
3
3
7",,3,3,7,['https://pbs.twimg.com/media/FO-IjbVWQAsRLCS?format=jpg&name=small'],https://twitter.com/Teslanews10/status/1508574546504396808
Muhammad Nouman Qayyum,@Muhamma59014670,2022-03-28T19:34:55.000Z,"Muhammad Nouman Qayyum
@Muhamma59014670
·
29 Mar","#DOGE signals bottoming out as DOGE rebounds 30% in two weeks #BSCCryptoBuzz
bsccryptobuzz.com
Dogecoin signals bottoming out as DOGE rebounds 30% in two weeks — What’s next?
14
13",,,14,13,['https://pbs.twimg.com/card_img/1508277199325265923/n8DPuVS1?format=jpg&name=small'],https://twitter.com/Muhamma59014670/status/1508528077957128193
Gotoshi Nakamoto,@GotoshiNakamoto,2022-03-28T03:39:44.000Z,"Gotoshi Nakamoto
@GotoshiNakamoto
·
28 Mar","Starlink x Doge-1 soon... #dogecoin 
11
56
250",🚀,11,56,250,[],https://twitter.com/GotoshiNakamoto/status/1508287697474924544
Emmanuel Luiz,@Emmanuelluiz244,2022-03-28T16:14:18.000Z,"Emmanuel Luiz
@Emmanuelluiz244
·
28 Mar","#MarvinInu.... No doubt the gem that fill up my portfolio is this great gem,always the best 
@marvin_inu
 $marvin

 #bnb #eth #saitama #dogecoin #catecoin #btc #NFT #BSC
3
18
21",,3,18,21,['https://pbs.twimg.com/media/FO8wXTLXIBA3sHX?format=jpg&name=small'],https://twitter.com/Emmanuelluiz244/status/1508477590306185228
Android1321,@ronald071010,2022-03-28T14:20:39.000Z,"Android1321
@ronald071010
·
28 Mar","20 cents is just a stone throw away...
#dogecoin
4
16
72",,4,16,72,[],https://twitter.com/ronald071010/status/1508448989095481345
JustMe,@MartinBK88,2022-03-28T05:20:50.000Z,"JustMe
@MartinBK88
·
28 Mar","Replying to 
@dogecoin_empire
Believer 
2",😁 👍,,,2,['https://pbs.twimg.com/media/FO6azudXwAQANCM?format=jpg&name=small'],https://twitter.com/MartinBK88/status/1508313141976915979
Life is so short,@lifeissoshort01,2022-03-28T14:27:00.000Z,"Life is so short
@lifeissoshort01
·
28 Mar","Replying to 
@Zero_Day_0
 @Shibtoken
  and 4 others
@CatcoinERC20
 ETHcats X1000
1
11
12",😊 👍 📈 🚀 💯,1,11,12,[],https://twitter.com/lifeissoshort01/status/1508450588287143937
Major Lobbyist $LBY,@ggg23708957,2022-03-28T08:28:07.000Z,"Major Lobbyist $LBY
@ggg23708957
·
28 Mar","Lobby is the next Bitcoin. #LBY #erc20 #eth #lobbytoken #crypto #btc #ltc #dogecoin #invest
5
9
9",,5,9,9,['https://pbs.twimg.com/media/FO7FmQbWQAczAzZ?format=jpg&name=small'],https://twitter.com/ggg23708957/status/1508360272154697729
Don’t follow this man called Stan!,@DontFollowStan,2022-03-28T21:13:12.000Z,"Don’t follow this man called Stan!
@DontFollowStan
·
29 Mar","It certainly made the shift at McDonald’s go by more quickly when I saw #doge was pumping!!

#dogecoin #dogefam #dogearmy #DoOnlyGoodEveryday
GIF
4
8
13",⚠ 💎 🐕,4,8,13,['https://pbs.twimg.com/tweet_video_thumb/FO90tRSXsAgI9xv.jpg'],https://twitter.com/DontFollowStan/status/1508552811054833666
Farzad Ahangi,@AhangiFarzad,2022-03-28T14:25:28.000Z,"Farzad Ahangi
@AhangiFarzad
·
28 Mar","I will progress with Dogecoin
@ElonMusk
4
22
47",⚠,4,22,47,['https://pbs.twimg.com/media/FO8Xda3WQAcUch6?format=jpg&name=small'],https://twitter.com/AhangiFarzad/status/1508450202390343684
